Date-Time,ICEBERG Liquid Level (Inch),ICEBERG LIFETIME (Sec),Cryostat Pressure (psi)
2021-02-27T06:00:00,60.12869644,0.000259589,7.979652405
2021-02-27T06:30:00,60.19532013,0.000268965,7.950034142
2021-02-27T07:00:00,60.19532013,0.000264577,8.106022835
2021-02-27T07:30:00,60.12149429,0.000266959,8.003346443
2021-02-27T08:00:00,60.13409805,0.000262485,7.959906578
2021-02-27T08:30:00,60.17731476,0.00026878,7.959906578
2021-02-27T09:00:00,60.17011261,0.000275058,8.090227127
2021-02-27T09:30:00,60.13409805,0.000287208,7.940161228
2021-02-27T10:00:00,60.20612335,0.000285858,7.991499424
2021-02-27T10:30:00,60.19712067,0.000299341,8.275834084
2021-02-27T11:00:00,60.14670563,0.000282874,7.952008724
2021-02-27T11:30:00,60.18271637,0.000275723,8.005321503
2021-02-27T12:00:00,60.26914597,0.000303259,8.0704813
2021-02-27T12:30:00,60.164711,0.000300621,7.969779491
2021-02-27T13:00:00,60.12869644,0.000296728,8.017168999
2021-02-27T13:30:00,60.22052765,0.000287605,8.027041435
2021-02-27T14:00:00,60.13589859,0.000293007,8.084302902
2021-02-27T14:30:00,60.11249161,0.000300454,7.983601093
2021-02-27T15:00:00,60.18991852,0.000310657,8.044812202
2021-02-27T15:30:00,60.15930939,0.000315447,8.123794556
2021-02-27T16:00:00,60.11609268,0.000292883,7.957931995
2021-02-27T16:30:00,60.13049698,0.00030225,8.044812202
2021-02-27T17:00:00,60.20072174,0.00029593,8.23831749
2021-02-27T17:30:00,60.09988785,0.000302177,8.025066376
2021-02-27T18:00:00,60.13409805,0.000319413,10.37477875
2021-02-27T18:30:00,60.17191315,0.000311203,10.35700703
2021-02-27T19:00:00,60.07468033,0.000283075,9.746871948
2021-02-27T19:30:00,60.14850616,0.000280071,9.991716385
2021-02-27T20:00:00,60.1268959,0.000279324,10.18324757
2021-02-27T20:30:00,60.13409805,0.000286449,10.19114494
2021-02-27T21:00:00,60.18451691,0.00028071,10.57618237
2021-02-27T21:30:00,60.06207657,0.000316633,11.06389523
2021-02-27T22:00:00,60.164711,0.000302732,11.33835697
2021-02-27T22:30:00,60.20792389,0.000305871,11.83001995
2021-02-27T23:00:00,60.04227066,0.000327834,12.13607502
2021-02-27T23:30:00,60.15210724,0.000294496,12.45990086
2021-02-28T00:00:00,60.10348892,0.00029929,12.83111572
2021-02-28T00:30:00,60.13589859,0.000313887,13.22997379
2021-02-28T01:00:00,60.11249161,0.000300013,13.49653816
2021-02-28T01:30:00,60.1268959,0.000335515,13.96055603
2021-02-28T02:00:00,60.09808731,0.000337862,14.34559345
